# lat,lng,id,name,building_type,type
# Huntix Landmarks Database - Monumenti e punti di interesse turistico
# Formato: lat,lng,id,name,building_type,type
41.8902,12.4924,poi_roma_lm_colosseo,Colosseo,landmark,monumento
41.8954,12.4843,poi_roma_lm_piazza_venezia,Piazza Venezia,square,piazza
41.9010,12.4830,poi_roma_lm_fontana_di_trevi,Fontana di Trevi,fountain,monumento
41.8980,12.4769,poi_roma_lm_pantheon,Pantheon,building,monumento
41.9418,12.4744,poi_roma_lm_villa_borghese,Villa Borghese,park,naturale
41.9109,12.4763,poi_roma_lm_piazza_navona,Piazza Navona,square,piazza
41.8897,12.4925,poi_roma_lm_fori_imperiali,Fori Imperiali,landmark,monumento
41.8930,12.4826,poi_roma_lm_castel_santangelo,Castel Sant'Angelo,building,monumento
41.9030,12.4540,poi_roma_lm_vaticano,Basilica San Pietro,building,monumento
41.9289,12.4791,poi_roma_lm_piazzale_flaminio,Piazzale Flaminio,square,piazza
45.4642,9.1900,poi_milano_lm_duomo,Duomo di Milano,building,monumento
45.4654,9.1712,poi_milano_lm_castello,Castello Sforzesco,building,monumento
45.4641,9.1856,poi_milano_lm_galleria,Galleria Vittorio Emanuele II,building,shopping
45.4627,9.1720,poi_milano_lm_teatro,Teatro alla Scala,building,cultura
45.4681,9.1795,poi_milano_lm_parco_sempione,Parco Sempione,park,naturale
40.8518,14.2681,poi_napoli_lm_san_carlo,San Carlo all'Apolo,building,monumento
40.8396,14.2524,poi_napoli_lm_castel_nuovo,Castel Nuovo,building,monumento
40.8486,14.2542,poi_napoli_lm_piazza_plebiscito,Piazza del Plebiscito,square,piazza
45.0703,7.6869,poi_torino_lm_mole,Mole Antonelliana,building,monumento
45.0635,7.6820,poi_torino_lm_piazza_castello,Piazza Castello,square,piazza
43.7696,11.2558,poi_firenze_lm_duomo,Duomo di Firenze,building,monumento
43.7730,11.2510,poi_firenze_lm_ponte_vecchio,Ponte Vecchio,bridge,ponte
43.7765,11.2543,poi_firenze_lm_piazza_signoria,Piazza della Signoria,square,piazza
44.4949,11.3426,poi_bologna_lm_piazza_maggiore,Piazza Maggiore,square,piazza
44.4975,11.3540,poi_bologna_lm_torre,Torre degli Asinelli,building,monumento
38.1157,13.3615,poi_palermo_lm_palazzo,Palazzo dei Normanni,building,monumento
37.5079,15.0830,poi_catania_lm_piazza,Piazza del Duomo,square,piazza
