# lat,lng,id,name,building_type,type,url,page_type
# Castelverde -- Tutti
45.187767,9.996562,ov_opera_pia_ss_redentore_45.1878_9.9966,Opera Pia SS Redentore,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/opera_pia_ss_redentore_45.1878_9.9966.json,custom
45.174568,9.969394,ov_trattoria_bar_sport_45.1746_9.9694,Trattoria Bar Sport,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/trattoria_bar_sport_45.1746_9.9694.json,custom
45.173541,9.968955,ov_antica_costese_45.1735_9.9690,Antica Costese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/antica_costese_45.1735_9.9690.json,custom
45.175937,9.963772,ov_le_terrazze_45.1759_9.9638,Le Terrazze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/le_terrazze_45.1759_9.9638.json,custom
45.175182,9.970102,ov_il_veliero_45.1752_9.9701,Il Veliero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/il_veliero_45.1752_9.9701.json,custom
45.178200,9.988600,ov_breda_eventi_45.1782_9.9886,Breda Eventi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/breda_eventi_45.1782_9.9886.json,custom
45.182585,9.994049,ov_cascina_breda_d__bugni_45.1826_9.9940,Cascina Breda dè Bugni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/cascina_breda_d_bugni_45.1826_9.9940.json,custom
45.187870,9.997955,ov_nico_bolzoni64_gmail_com_45.1879_9.9980,nico.bolzoni64@gmail.com,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/nicobolzoni64gmailcom_45.1879_9.9980.json,custom
45.186262,9.999738,ov_pazzi_di_pizza_45.1863_9.9997,Pazzi di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/pazzi_di_pizza_45.1863_9.9997.json,custom
45.188561,10.012219,ov_trattoria_franca_and_luciano_45.1886_10.0122,Trattoria Franca and Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/trattoria_franca_and_luciano_45.1886_10.0122.json,custom
45.189593,10.010357,ov_locanda_da_zia_leti_45.1896_10.0104,Locanda Da Zia Leti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/locanda_da_zia_leti_45.1896_10.0104.json,custom
45.199036,9.963048,ov_ristorante_al_valentino_45.1990_9.9630,Ristorante Al Valentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/ristorante_al_valentino_45.1990_9.9630.json,custom
45.193117,9.996692,ov_antica_osteria_il_cavallino_45.1931_9.9967,Antica Osteria il Cavallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/antica_osteria_il_cavallino_45.1931_9.9967.json,custom
45.208369,9.998432,ov_nuova_osteria_fioni_45.2084_9.9984,Nuova Osteria Fioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/nuova_osteria_fioni_45.2084_9.9984.json,custom
45.208404,9.998509,ov_alimentari_gastronomia_fioni_45.2084_9.9985,Alimentari Gastronomia Fioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/alimentari_gastronomia_fioni_45.2084_9.9985.json,custom
45.215777,9.985466,ov_vecchia_cascina_45.2158_9.9855,Vecchia Cascina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/vecchia_cascina_45.2158_9.9855.json,custom
45.188588,10.012022,osm_trattoria_da_franca_e_luciano_45.1886_10.0120,Trattoria da Franca e Luciano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/trattoria_da_franca_e_luciano_45.1886_10.0120.json,custom
45.168855,9.969218,ov_paradise_wine_bar_45.1689_9.9692,Paradise Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/paradise_wine_bar_45.1689_9.9692.json,custom
45.168833,9.969230,ov_paradise_live_cafe_45.1688_9.9692,Paradise Live Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/paradise_live_cafe_45.1688_9.9692.json,custom
45.187859,9.998564,ov_bar_la_pesa_di_castelverde_45.1879_9.9986,Bar La Pesa di Castelverde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/bar_la_pesa_di_castelverde_45.1879_9.9986.json,custom
45.187983,9.998096,ov_bar_al_portici_45.1880_9.9981,Bar Al Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/bar_al_portici_45.1880_9.9981.json,custom
45.186031,9.995054,ov_bar_pizzeria_paradiso_palumbo_45.1860_9.9951,Bar Pizzeria Paradiso Palumbo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/bar_pizzeria_paradiso_palumbo_45.1860_9.9951.json,custom
45.186747,9.994401,ov_bar_brasiliana_45.1867_9.9944,Bar Brasiliana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/bar_brasiliana_45.1867_9.9944.json,custom
45.186767,9.994592,ov_brasiliana_45.1868_9.9946,Brasiliana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/brasiliana_45.1868_9.9946.json,custom
45.216100,9.985587,ov_barba_pub_45.2161_9.9856,Barba Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/barba_pub_45.2161_9.9856.json,custom
45.215427,9.985155,ov_bar_ricevitoria_galbignani_carlo_45.2154_9.9852,Bar Ricevitoria Galbignani Carlo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/bar_ricevitoria_galbignani_carlo_45.2154_9.9852.json,custom
45.191250,10.003181,ov_castelverde_holstein_45.1912_10.0032,Castelverde Holstein,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelverde/pages/castelverde_holstein_45.1912_10.0032.json,custom
